,Unnamed: 0,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
101,101,Spadina Ave / Blue Jays Way,43.641705,-79.393295,2025-07-29,15,10,1,1,0,101,1,1,0,3,5
102,102,Glendonwynne Rd / Bloor St W,43.65182,-79.47421,2025-07-29,3,16,1,1,2,102,2,0,0,2,6
103,103,Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,2025-07-29,15,0,1,1,0,103,0,0,0,2,8
104,104,2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,2025-07-29,36,0,1,1,36,104,1,0,0,1,8
105,105,Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,2025-07-29,1,14,1,1,0,105,1,0,0,0,9
106,106,75 Holly St,43.7063279,-79.3962499,2025-07-29,6,14,1,1,6,106,0,0,0,1,9
107,107,Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,2025-07-29,9,2,1,1,0,107,0,0,1,3,1
108,108,The Pond Rd / Shoreham Dr,43.772445,-79.511912,2025-07-29,2,11,1,1,0,108,4,0,1,0,5
109,109,Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,2025-07-29,0,18,1,1,0,109,3,1,0,2,4
110,110,Lynn Williams St / East Liberty St,43.638925,-79.4168659,2025-07-29,14,0,1,1,1,110,0,1,2,2,5
111,111,Roding St / Nash Dr,43.72885964584396,-79.49202997658232,2025-07-29,7,7,1,1,0,111,0,0,1,0,9
112,112,King St E / Berkeley St,43.651885,-79.3649,2025-07-29,17,13,1,1,0,112,0,1,1,1,7
113,113,Royal York Rd / Mimico Ave,43.612063,-79.496573,2025-07-29,17,1,1,1,0,113,0,0,0,1,9
114,114,King St W / Charlotte St,43.645572,-79.39399,2025-07-29,12,9,1,1,1,114,1,1,1,0,7
115,115,Russell Hill Rd / St. Clair Ave W,43.685569,-79.408019,2025-07-29,0,17,1,1,0,115,0,1,1,2,6
116,116,Harbord St / Clinton St,43.660414,-79.415646,2025-07-29,9,6,1,1,1,116,2,1,0,1,6
117,117,Jameson Ave / Queen St W,43.63985,-79.43703,2025-07-29,19,7,1,1,1,117,0,0,2,1,7
118,118,High Park - Grenadier Cafe,43.645599,-79.4657123,2025-07-29,3,6,1,1,1,118,0,0,1,6,3
119,119,High Park Amphitheatre,43.646251,-79.46472,2025-07-29,4,19,1,1,2,119,0,0,1,6,3
120,120,Gothic Ave / Quebec Ave,43.65389,-79.4675,2025-07-29,3,14,1,1,1,120,1,0,2,4,3
121,121,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,2025-07-29,2,12,1,1,0,121,1,0,0,0,9
122,122,Grantbrook St / Finch Hydro Corridor Trail,43.780468305361154,-79.43280415488479,2025-07-29,0,14,1,1,0,122,1,0,0,4,3
123,123,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,2025-07-29,8,6,1,1,0,123,1,0,1,2,6
124,124,College St / Borden St,43.6571,-79.4056,2025-07-29,2,7,1,1,0,124,0,0,1,0,9
125,125,Coxwell Ave / Plains Rd,43.69595,-79.328535,2025-07-29,16,3,1,1,0,125,0,0,0,1,9
126,126,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,2025-07-29,1,12,1,1,0,126,1,2,1,3,3
127,127,Glen Long Community Centre,43.70820992643782,-79.45627808717194,2025-07-29,0,15,1,1,0,127,0,0,0,0,10
